u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
161,4,1.0,4.0,3.0,3,3.0,3.0,2.0,2.0,3.0,0.007456164445896576,-1.4827941462833911,-0.4701849420102447,1.3840863186053893,3.0,4.0,4.0,4.0,0
162,3,1.0,4.0,9.0,1,3.0,3.0,4.0,4.0,3.0,-0.08879614021931417,-0.17769020761247245,0.8831852289111356,-1.179482254115897,2.0,5.0,4.0,4.0,1
163,2,1.0,4.0,3.0,1,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
164,6,2.0,4.0,3.0,3,4.0,3.0,4.0,3.0,4.0,0.969979211098004,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,3.0,4.0,4.0,4.0,0
165,6,2.0,3.0,1.0,3,2.0,3.0,5.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
166,6,1.0,3.0,2.0,2,3.0,3.0,2.0,3.0,4.0,-0.28130074954973566,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,1.0,4.0,4.0,4.0,0
167,3,2.0,3.0,1.0,1,2.0,3.0,4.0,5.0,4.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,3.0,4.0,4.0,4.0,0
168,3,3.0,5.0,3.0,0,2.0,3.0,2.0,2.0,4.0,1.4512407344240579,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
169,1,2.0,3.0,5.0,1,2.0,3.0,4.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
17,2,2.0,5.0,7.0,2,3.0,3.0,5.0,4.0,7.0,-0.2331745972171303,-0.17769020761247245,2.236555399832516,-1.179482254115897,3.0,2.0,4.0,5.0,0
170,3,1.0,4.0,2.0,2,3.0,3.0,1.0,4.0,4.0,0.007456164445896576,1.1274137310584462,-0.4701849420102447,-1.179482254115897,3.0,4.0,2.0,2.0,1
171,3,1.0,4.0,5.0,2,3.0,3.0,1.0,3.0,2.0,-0.08879614021931417,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,5.0,4.0,4.0,0
172,3,1.0,3.0,3.0,2,2.0,3.0,2.0,2.0,1.0,-0.08879614021931417,-0.17769020761247245,-0.4701849420102447,1.3840863186053893,3.0,2.0,4.0,4.0,0
173,3,3.0,3.0,5.0,3,3.0,3.0,2.0,2.0,1.0,-0.1850484448845249,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,1.0,4.0,4.0,4.0,0
174,3,2.0,3.0,7.0,1,2.0,3.0,2.0,2.0,4.0,-0.040669987886708794,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,2.0,5.0,2.0,0
175,3,2.0,3.0,5.0,1,2.0,3.0,5.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
176,2,1.0,5.0,5.0,1,2.0,3.0,4.0,3.0,4.0,-0.4738053588801572,1.1274137310584462,-0.4701849420102447,-1.179482254115897,3.0,5.0,1.0,4.0,1
177,2,1.0,3.0,4.0,1,3.0,2.0,4.0,3.0,5.0,0.007456164445896576,1.1274137310584462,-0.4701849420102447,-1.179482254115897,4.0,3.0,4.0,4.0,0
178,2,1.0,3.0,3.0,1,4.0,3.0,3.0,4.0,4.0,0.24808692610892344,1.1274137310584462,0.8831852289111356,0.10230203224474622,2.0,5.0,3.0,5.0,1
179,3,3.0,4.0,5.0,2,3.0,2.0,1.0,2.0,3.0,0.4887176877719503,1.1274137310584462,-0.4701849420102447,1.3840863186053893,2.0,4.0,4.0,5.0,0
18,2,3.0,5.0,9.0,1,2.0,2.0,2.0,5.0,5.0,-0.1850484448845249,1.1274137310584462,-0.4701849420102447,-1.179482254115897,2.0,4.0,4.0,3.0,0
180,2,2.0,4.0,4.0,2,3.0,3.0,4.0,3.0,4.0,0.007456164445896576,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
181,3,3.0,3.0,12.0,2,3.0,3.0,3.0,3.0,4.0,-0.16098536871822222,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
