u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
14,3.0,3.0,5.0,12.0,2.0,2.0,2.0,4.0,4.0,5.0,7.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0
140,3.0,2.0,5.0,12.0,1.0,2.0,,5.0,5.0,,6.0,,,,2.0,,,,
141,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0
142,3.0,1.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0
143,3.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,2.0
144,3.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,8.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,1.0
145,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,10.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0
146,3.0,1.0,4.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,9.0,3.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0
147,7.0,2.0,1.0,1.0,3.0,2.0,,1.0,4.0,,8.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,1.0
148,3.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,3.0,15.0,3.0,4.0,4.0,2.0,5.0,4.0,5.0,1.0
149,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,10.0,,,,3.0,4.0,,,
15,4.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,6.0,16.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0
150,3.0,3.0,5.0,12.0,3.0,3.0,,2.0,1.0,,5.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0
151,3.0,1.0,1.0,12.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0
152,3.0,3.0,4.0,6.0,4.0,2.0,3.0,1.0,1.0,4.0,30.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0
153,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,4.0,4.0,5.0,2.0
154,7.0,2.0,4.0,1.0,2.0,,,2.0,,,,,,,,,,,
155,2.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,6.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0
156,4.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,8.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0,1.0
157,4.0,3.0,2.0,12.0,3.0,3.0,3.0,5.0,5.0,5.0,8.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,1.0
158,7.0,1.0,2.0,1.0,2.0,2.0,,2.0,5.0,,8.0,4.0,1.0,3.0,3.0,2.0,5.0,5.0,2.0
159,4.0,2.0,3.0,3.0,2.0,3.0,,4.0,4.0,,8.0,,,,2.0,,,,
16,3.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0
160,3.0,1.0,4.0,2.0,2.0,2.0,,2.0,4.0,,16.0,4.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0
161,5.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,10.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0
162,4.0,1.0,4.0,9.0,2.0,3.0,3.0,4.0,4.0,3.0,8.0,3.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0
163,,,,,,,,,,,,,,,,,,,
164,7.0,2.0,4.0,3.0,4.0,4.0,,4.0,3.0,,30.0,,,,3.0,,,,
165,7.0,2.0,3.0,1.0,4.0,,,5.0,,,,,,,,,,,
166,7.0,1.0,3.0,2.0,3.0,3.0,,2.0,3.0,,4.0,,,,1.0,,,,
167,4.0,2.0,3.0,1.0,2.0,2.0,,4.0,5.0,,10.0,,,,3.0,,,,
168,4.0,3.0,5.0,3.0,1.0,2.0,,2.0,2.0,,40.0,,,,2.0,,,,
169,2.0,2.0,3.0,5.0,2.0,,,4.0,,,,,,,,,,,
17,3.0,2.0,5.0,7.0,3.0,3.0,3.0,5.0,4.0,7.0,5.0,3.0,3.0,1.0,3.0,2.0,4.0,5.0,1.0
170,4.0,1.0,4.0,2.0,3.0,3.0,,1.0,4.0,,10.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0
171,4.0,1.0,4.0,5.0,3.0,3.0,3.0,1.0,3.0,2.0,8.0,4.0,1.0,1.0,2.0,5.0,4.0,4.0,1.0
172,4.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,8.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,1.0
173,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,6.0,,,,1.0,,,,
174,4.0,2.0,3.0,7.0,2.0,2.0,,2.0,2.0,,9.0,4.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0
175,4.0,2.0,3.0,5.0,2.0,,,5.0,,,,,,,,,,,
176,3.0,1.0,5.0,5.0,2.0,,,4.0,,,0.0,4.0,1.0,1.0,3.0,5.0,1.0,,2.0
177,3.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,10.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0
178,3.0,1.0,3.0,3.0,2.0,4.0,,3.0,4.0,,15.0,4.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0
179,4.0,3.0,4.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0,20.0,4.0,1.0,3.0,2.0,4.0,4.0,5.0,1.0
18,3.0,3.0,5.0,9.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0
180,3.0,2.0,4.0,4.0,3.0,3.0,,4.0,3.0,,10.0,,,,2.0,,,,
181,4.0,3.0,3.0,12.0,3.0,3.0,,3.0,3.0,,6.5,,,,2.0,,,,
182,4.0,1.0,3.0,5.0,2.0,,,2.0,,,,,,,,,,,
